,player_id,season,week,player_display_name,position,True rushing_yards,Projected rushing_yards,Average rushing_yards,STD rushing_yards,True rushing_tds,Projected rushing_tds,Average rushing_tds,STD rushing_tds,True rushing_fumbles_lost,Projected rushing_fumbles_lost,Average rushing_fumbles_lost,STD rushing_fumbles_lost,True receiving_yards,Projected receiving_yards,Average receiving_yards,STD receiving_yards,True receiving_tds,Projected receiving_tds,Average receiving_tds,STD receiving_tds,True receptions,Projected receptions,Average receptions,STD receptions,True receiving_fumbles_lost,Projected receiving_fumbles_lost,Average receiving_fumbles_lost,STD receiving_fumbles_lost,True passing_yards,Projected passing_yards,Average passing_yards,STD passing_yards,True passing_tds,Projected passing_tds,Average passing_tds,STD passing_tds,True passing_interceptions,Projected passing_interceptions,Average passing_interceptions,STD passing_interceptions
4944,00-0033090,2024,1,Hunter Henry,TE,0,9.495391185039985,0.0,0.0,0,0.06993144343365601,0.0,0.0,0,0.01827519498083668,0.0,0.0,18,23.24983313382458,0.0,0.0,0,0.13922895852299513,0.0,0.0,2,2.0417510866255277,0.0,0.0,0.0,0.01168533397743146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4945,00-0033106,2024,1,Jared Goff,QB,7,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,0,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,0,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,217.0,224.4712415687397,0.0,0.0,1.0,1.4078323863301259,0.0,0.0,1.0,0.753970408129517,0.0,0.0
4949,00-0033119,2024,1,Jacoby Brissett,QB,32,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,0,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,0,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,121.0,224.4712415687397,0.0,0.0,0.0,1.4078323863301259,0.0,0.0,0.0,0.753970408129517,0.0,0.0
4953,00-0033217,2024,1,Mo Alie-Cox,TE,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,0,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,0,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4954,00-0033246,2024,1,Johnny Mundt,TE,0,9.508135522956373,0.0,0.0,0,0.06653628667568098,0.0,0.0,0,0.017050690235226915,0.0,0.0,15,22.52289590346232,0.0,0.0,0,0.1358397207433888,0.0,0.0,2,1.968088722847688,0.0,0.0,0.0,0.010655927836504958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4955,00-0033282,2024,1,Curtis Samuel,WR,0,9.495391185039985,0.0,0.0,0,0.06993144343365601,0.0,0.0,0,0.01827519498083668,0.0,0.0,15,23.24983313382458,0.0,0.0,0,0.13922895852299513,0.0,0.0,2,2.0417510866255277,0.0,0.0,0.0,0.01168533397743146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4956,00-0033288,2024,1,George Kittle,TE,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,40,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,4,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4957,00-0033293,2024,1,Aaron Jones,RB,94,9.952669779700994,0.0,0.0,1,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,15,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,2,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4958,00-0033357,2024,1,Taysom Hill,TE,35,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,1,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,1,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4959,00-0033526,2024,1,Samaje Perine,RB,0,9.508135522956373,0.0,0.0,0,0.06653628667568098,0.0,0.0,0,0.017050690235226915,0.0,0.0,10,22.52289590346232,0.0,0.0,0,0.1358397207433888,0.0,0.0,1,1.968088722847688,0.0,0.0,0.0,0.010655927836504958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4960,00-0033537,2024,1,Deshaun Watson,QB,39,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,0,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,0,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,169.0,224.4712415687397,0.0,0.0,1.0,1.4078323863301259,0.0,0.0,2.0,0.753970408129517,0.0,0.0
4964,00-0033553,2024,1,James Conner,RB,50,9.952669779700994,0.0,0.0,1,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,33,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,3,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
